eligible_contrast,n_light,n_dark,power_gap_0_10,power_gap_0_15,mdd_80,mdd_90
All observations (accuracy-like),105,46,0.29638126869224946,0.5390750285424444,0.2118026663221409,0.24956077698271326
Malignant lesions (recall),77,21,0.1757682351618982,0.3152407566831912,0.3072045557796042,0.3613032014818402
Benign lesions (specificity),28,25,0.15006077633032383,0.2624005810913145,0.3477460890815711,0.408140766993506
