Metric,n_model_seed,n_source_images,n_source_lesions,mean_source,sd_across_systems,mean_half_width,max_half_width
Recall / sensitivity,25,990,747,0.6780748663101603,0.03106671133321457,0.08093141860082032,0.08940178817314087
AUC-PR,25,990,747,0.6673790856988933,0.03888402228859651,0.0874968394300007,0.09715651582199053
F1-score,25,990,747,0.6302869357916578,0.018821882345090232,0.06873745198137454,0.07365153764788257
Precision,25,990,747,0.5905364145087683,0.031245023284488648,0.08301874645666224,0.08825885609364903
Accuracy,25,990,747,0.8496161616161616,0.011373246964805777,0.026536877362491936,0.029309739579522154
Specificity,25,990,747,0.8895641344956415,0.016776248538295402,0.025421503658300502,0.029020495391683443
AUC-ROC,25,990,747,0.8939524909930009,0.013333494195450815,0.02791053084509876,0.03298271206686787
