metric_group,model,model_label,seed,metric,n_light,n_dark,light_performance,dark_performance,gap_light_minus_dark,bootstrap_ci_low,bootstrap_ci_high,interval_direction,n_boot_valid,prediction_file
Primary,vgg16,VGG16,3,recall,105,46,0.5714285714285714,0.5714285714285714,0.0,-0.2381011904761904,0.2511051221835534,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed3_20260712T140512Z.csv
Primary,vgg16,VGG16,4,recall,105,46,0.5324675324675324,0.5238095238095238,0.008658008658008587,-0.22768788574439253,0.2734512987012983,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed4_20260712T141500Z.csv
Primary,vgg16,VGG16,5,recall,105,46,0.5454545454545454,0.47619047619047616,0.06926406926406925,-0.17950450450450448,0.31193883818883805,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed5_20260712T142444Z.csv
Primary,resnet50,ResNet50,1,auc_pr,105,46,0.9348752423714007,0.7303290350735636,0.20454620729783712,0.04181001366795,0.4008356154030236,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed1_20260710T163649Z.csv
Primary,resnet50,ResNet50,2,auc_pr,105,46,0.9449488201713617,0.7931705753362841,0.15177824483507762,0.014160322530520611,0.32392007770686904,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed2_20260712T130830Z.csv
Primary,resnet50,ResNet50,3,auc_pr,105,46,0.944250186760553,0.7429953344084541,0.20125485235209883,0.04848154920624599,0.39355352930742754,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed3_20260712T131749Z.csv
Primary,resnet50,ResNet50,4,auc_pr,105,46,0.9561994647913192,0.7573947942917183,0.19880467049960093,0.04889682478036824,0.37005420480083195,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed4_20260712T132705Z.csv
Primary,resnet50,ResNet50,5,auc_pr,105,46,0.9527445045026257,0.7843855343871371,0.16835897011548862,0.04145304089755539,0.33046151953227665,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed5_20260712T133622Z.csv
Primary,densenet121,DenseNet121,1,auc_pr,105,46,0.9187092202583045,0.7975621364837056,0.12114708377459893,-0.01867319863940878,0.2982226526708592,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed1_20260710T170220Z.csv
Primary,densenet121,DenseNet121,2,auc_pr,105,46,0.911870413242394,0.7319560345182987,0.17991437872409533,-0.002435905108577832,0.3780705111534271,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed2_20260710T170712Z.csv
Primary,densenet121,DenseNet121,3,auc_pr,105,46,0.9435752513891488,0.7816824998039418,0.161892751585207,0.0020216734969551176,0.3484346341981256,light higher,2000,outputs/predictions/bosque_public_predictions_densenet121_seed3_20260710T171202Z.csv
Primary,densenet121,DenseNet121,4,auc_pr,105,46,0.9432195444785704,0.8397105531541247,0.10350899132444569,-0.021552633524243567,0.2656155313922771,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed4_20260710T171653Z.csv
Primary,densenet121,DenseNet121,5,auc_pr,105,46,0.9343531984507226,0.8441719722352574,0.0901812262154652,-0.027791402455336033,0.24070721021852617,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed5_20260710T172143Z.csv
Primary,mobilenetv2,MobileNetV2,1,auc_pr,105,46,0.939900282440319,0.654530043703796,0.285370238736523,0.09767180880925776,0.4804361724134737,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed1_20260712T130128Z.csv
Primary,mobilenetv2,MobileNetV2,2,auc_pr,105,46,0.9164541740645148,0.7394233953925669,0.17703077867194794,0.02635021348185505,0.3700904852428441,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed2_20260712T130247Z.csv
Primary,mobilenetv2,MobileNetV2,3,auc_pr,105,46,0.9271695393052307,0.6773192359158398,0.24985030338939096,0.06619988889706475,0.4576883690030934,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed3_20260712T130408Z.csv
Primary,mobilenetv2,MobileNetV2,4,auc_pr,105,46,0.9356153586629448,0.7147216060815467,0.2208937525813981,0.0542647949028069,0.4216889921688213,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed4_20260712T130528Z.csv
Primary,mobilenetv2,MobileNetV2,5,auc_pr,105,46,0.9400821670019462,0.6982329013476334,0.24184926565431286,0.07986539952348347,0.43664741338774427,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed5_20260712T130647Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,1,auc_pr,105,46,0.9461913644434586,0.8046710872901353,0.14152027715332338,0.01234979335933076,0.31006687308517106,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed1_20260712T125320Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,2,auc_pr,105,46,0.9383131040361486,0.7723392268254661,0.16597387721068257,0.01631886641826818,0.341638999802087,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed2_20260712T125459Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,3,auc_pr,105,46,0.9578555409995858,0.7846903813999491,0.17316515959963674,0.042785379623379395,0.34695764124489636,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed3_20260712T125637Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,4,auc_pr,105,46,0.9540872090849896,0.7776830008972868,0.17640420818770275,0.03492520435937413,0.35809687706084187,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed4_20260712T125815Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,5,auc_pr,105,46,0.9574037305146091,0.7881316166066088,0.16927211390800034,0.03361608392143877,0.34375752056017905,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed5_20260712T125953Z.csv
Primary,vgg16,VGG16,1,auc_pr,105,46,0.9290310446723564,0.7945969493553691,0.13443409531698736,-0.006499443716604686,0.31722567444653743,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed1_20260712T134513Z.csv
Primary,vgg16,VGG16,2,auc_pr,105,46,0.9027472891506857,0.7465656220330952,0.15618166711759052,-0.017190274565065958,0.35178697308565476,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed2_20260712T135527Z.csv
Primary,vgg16,VGG16,3,auc_pr,105,46,0.9232585257727144,0.8007600890879933,0.12249843668472105,-0.017103517618385168,0.3039863921405824,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed3_20260712T140512Z.csv
Primary,vgg16,VGG16,4,auc_pr,105,46,0.9232578964171716,0.7277195237141545,0.1955383727030171,0.003998473461282845,0.40712229555062895,light higher,2000,outputs/predictions/bosque_public_predictions_vgg16_seed4_20260712T141500Z.csv
Primary,vgg16,VGG16,5,auc_pr,105,46,0.9191885708831079,0.7331042570712589,0.18608431381184898,0.008871120741357054,0.38137787394246553,light higher,2000,outputs/predictions/bosque_public_predictions_vgg16_seed5_20260712T142444Z.csv
Primary,resnet50,ResNet50,1,f1,105,46,0.7049180327868853,0.5,0.20491803278688525,-0.02023013304566709,0.4668372703412065,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed1_20260710T163649Z.csv
Primary,resnet50,ResNet50,2,f1,105,46,0.7244094488188977,0.6111111111111112,0.11329833770778652,-0.09929347826086958,0.33258752138741243,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed2_20260712T130830Z.csv
Primary,resnet50,ResNet50,3,f1,105,46,0.75,0.5294117647058824,0.22058823529411764,0.008196986172362399,0.4727637298558096,light higher,2000,outputs/predictions/bosque_public_predictions_resnet50_seed3_20260712T131749Z.csv
Primary,resnet50,ResNet50,4,f1,105,46,0.7154471544715447,0.5454545454545454,0.1699926090169993,-0.03420323549672576,0.4166725352112675,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed4_20260712T132705Z.csv
Primary,resnet50,ResNet50,5,f1,105,46,0.7096774193548387,0.5517241379310345,0.15795328142380427,-0.07466117216117212,0.4128437042177498,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed5_20260712T133622Z.csv
Primary,densenet121,DenseNet121,1,f1,105,46,0.6833333333333333,0.6470588235294118,0.03627450980392155,-0.16254056013776846,0.28449057426174124,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed1_20260710T170220Z.csv
Primary,densenet121,DenseNet121,2,f1,105,46,0.8059701492537313,0.6486486486486487,0.15732150060508265,-0.02420206498544621,0.3769884473160553,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed2_20260710T170712Z.csv
Primary,densenet121,DenseNet121,3,f1,105,46,0.7751937984496124,0.6857142857142857,0.08947951273532673,-0.08878930219062484,0.29638904372600017,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed3_20260710T171202Z.csv
Primary,densenet121,DenseNet121,4,f1,105,46,0.6779661016949152,0.5161290322580645,0.16183706943685072,-0.0598031699919977,0.418112112446224,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed4_20260710T171653Z.csv
Primary,densenet121,DenseNet121,5,f1,105,46,0.7441860465116279,0.6470588235294118,0.0971272229822161,-0.09598248106060613,0.31656204906204866,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed5_20260710T172143Z.csv
Primary,mobilenetv2,MobileNetV2,1,f1,105,46,0.7244094488188977,0.5454545454545454,0.17895490336435227,-0.012089894305435766,0.39383454639503834,includes zero,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed1_20260712T130128Z.csv
Primary,mobilenetv2,MobileNetV2,2,f1,105,46,0.6557377049180327,0.5714285714285714,0.08430913348946134,-0.11039426523297491,0.3044436951714417,includes zero,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed2_20260712T130247Z.csv
Primary,mobilenetv2,MobileNetV2,3,f1,105,46,0.6935483870967742,0.55,0.1435483870967742,-0.053851453768775,0.36917114833685,includes zero,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed3_20260712T130408Z.csv
Primary,mobilenetv2,MobileNetV2,4,f1,105,46,0.734375,0.6666666666666666,0.06770833333333337,-0.1194434436237714,0.2805085767890645,includes zero,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed4_20260712T130528Z.csv
Primary,mobilenetv2,MobileNetV2,5,f1,105,46,0.7049180327868853,0.5333333333333333,0.17158469945355193,-0.013279080712212694,0.37928000566581477,includes zero,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed5_20260712T130647Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,1,f1,105,46,0.8235294117647058,0.6842105263157895,0.13931888544891635,-0.03529495558907333,0.3461185837341376,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed1_20260712T125320Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,2,f1,105,46,0.8115942028985508,0.6153846153846154,0.19620958751393536,0.01899903288201157,0.4058883347287053,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed2_20260712T125459Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,3,f1,105,46,0.8345323741007195,0.6666666666666666,0.16786570743405282,0.0016230750673475887,0.3866666049138252,light higher,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed3_20260712T125637Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,4,f1,105,46,0.7596899224806202,0.7027027027027027,0.05698721977791743,-0.11651666666666669,0.27640113952056367,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed4_20260712T125815Z.csv
Primary,efficientnetv2b0,EfficientNetV2B0,5,f1,105,46,0.8059701492537313,0.6285714285714286,0.17739872068230278,-0.008850250626566329,0.4000212895377128,includes zero,2000,outputs/predictions/bosque_public_predictions_efficientnetv2b0_seed5_20260712T125953Z.csv
Primary,vgg16,VGG16,1,f1,105,46,0.688,0.5882352941176471,0.09976470588235287,-0.1071476488627652,0.34943567302262935,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed1_20260712T134513Z.csv
Primary,vgg16,VGG16,2,f1,105,46,0.6206896551724138,0.5454545454545454,0.0752351097178684,-0.13640011243060918,0.33897594634183936,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed2_20260712T135527Z.csv
Primary,vgg16,VGG16,3,f1,105,46,0.704,0.6666666666666666,0.03733333333333333,-0.15353058021932786,0.2695126418297147,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed3_20260712T140512Z.csv
Primary,vgg16,VGG16,4,f1,105,46,0.6721311475409836,0.6111111111111112,0.061020036429872415,-0.1390659094734957,0.30525109970674463,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed4_20260712T141500Z.csv
Primary,vgg16,VGG16,5,f1,105,46,0.6942148760330579,0.5714285714285714,0.12278630460448647,-0.0833217588500703,0.36869018078695487,includes zero,2000,outputs/predictions/bosque_public_predictions_vgg16_seed5_20260712T142444Z.csv
Primary,resnet50,ResNet50,1,precision,105,46,0.9555555555555556,0.7272727272727273,0.2282828282828283,-0.03476325757575756,0.5441510695187165,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed1_20260710T163649Z.csv
Primary,resnet50,ResNet50,2,precision,105,46,0.92,0.7333333333333333,0.18666666666666676,-0.04396825396825403,0.4245342165966759,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed2_20260712T130830Z.csv
Primary,resnet50,ResNet50,3,precision,105,46,0.9411764705882353,0.6923076923076923,0.248868778280543,-0.007147438802473653,0.5384615384615384,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed3_20260712T131749Z.csv
Primary,resnet50,ResNet50,4,precision,105,46,0.9565217391304348,0.75,0.2065217391304348,-0.039682539682539764,0.47959183673469385,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed4_20260712T132705Z.csv
Primary,resnet50,ResNet50,5,precision,105,46,0.9361702127659575,1.0,-0.06382978723404253,-0.13953488372093026,0.0,includes zero,2000,outputs/predictions/bosque_public_predictions_resnet50_seed5_20260712T133622Z.csv
Primary,densenet121,DenseNet121,1,precision,105,46,0.9534883720930233,0.8461538461538461,0.10733452593917714,-0.07692307692307687,0.3392045454545452,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed1_20260710T170220Z.csv
Primary,densenet121,DenseNet121,2,precision,105,46,0.9473684210526315,0.75,0.19736842105263153,-0.010823934837092831,0.43337533156498653,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed2_20260710T170712Z.csv
Primary,densenet121,DenseNet121,3,precision,105,46,0.9615384615384616,0.8571428571428571,0.10439560439560447,-0.06666666666666665,0.31947781385281365,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed3_20260710T171202Z.csv
Primary,densenet121,DenseNet121,4,precision,105,46,0.975609756097561,0.8,0.1756097560975609,-0.04761904761904767,0.47224099099099087,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed4_20260710T171653Z.csv
Primary,densenet121,DenseNet121,5,precision,105,46,0.9230769230769231,0.8461538461538461,0.07692307692307698,-0.11538461538461542,0.32340725763989797,includes zero,2000,outputs/predictions/bosque_public_predictions_densenet121_seed5_20260710T172143Z.csv
Primary,mobilenetv2,MobileNetV2,1,precision,105,46,0.92,0.5217391304347826,0.39826086956521745,0.17221861471861466,0.6108766968325792,light higher,2000,outputs/predictions/bosque_public_predictions_mobilenetv2_seed1_20260712T130128Z.csv
