model,seed,metric,target_condition,n_target,target_performance,target_ci_low,target_ci_high,target_half_width,target_half_width_tolerance,target_within_tolerance
ResNet50,3,recall,BOSQUE overall,151,0.5816326530612245,0.48,0.68,0.10000000000000003,0.1,False
ResNet50,4,recall,BOSQUE overall,151,0.5408163265306123,0.4411685641998735,0.640457619722919,0.09964452776152277,0.1,True
ResNet50,5,recall,BOSQUE overall,151,0.5306122448979592,0.4343434343434343,0.6288659793814433,0.09726127251900449,0.1,True
VGG16,1,recall,BOSQUE overall,151,0.5408163265306123,0.4432989690721649,0.6372549019607843,0.0969779664443097,0.1,True
VGG16,2,recall,BOSQUE overall,151,0.4591836734693877,0.3595423802770808,0.5575263784887677,0.09899199910584347,0.1,True
VGG16,3,recall,BOSQUE overall,151,0.5714285714285714,0.4736842105263157,0.6666666666666666,0.09649122807017546,0.1,True
VGG16,4,recall,BOSQUE overall,151,0.5306122448979592,0.4333333333333333,0.630439678809244,0.09855317273795536,0.1,True
VGG16,5,recall,BOSQUE overall,151,0.5306122448979592,0.4329896907216495,0.6276595744680851,0.09733494187321778,0.1,True
DenseNet121,1,recall,BOSQUE light,105,0.5324675324675324,0.4189189189189189,0.6455696202531646,0.11332535066712282,0.1,False
DenseNet121,2,recall,BOSQUE light,105,0.7012987012987013,0.5949367088607594,0.8,0.1025316455696203,0.1,False
DenseNet121,3,recall,BOSQUE light,105,0.6493506493506493,0.5394736842105263,0.7564102564102564,0.10846828609986503,0.1,False
DenseNet121,4,recall,BOSQUE light,105,0.5194805194805194,0.4057873090481786,0.631578947368421,0.1128958191601212,0.1,False
DenseNet121,5,recall,BOSQUE light,105,0.6233766233766234,0.5135135135135135,0.7307692307692307,0.10862785862785862,0.1,False
EfficientNetV2B0,1,recall,BOSQUE light,105,0.7272727272727273,0.625,0.824341216216216,0.09967060810810802,0.1,True
EfficientNetV2B0,2,recall,BOSQUE light,105,0.7272727272727273,0.625,0.821917808219178,0.09845890410958902,0.1,True
EfficientNetV2B0,3,recall,BOSQUE light,105,0.7532467532467533,0.6538333333333334,0.8461538461538461,0.09616025641025638,0.1,True
EfficientNetV2B0,4,recall,BOSQUE light,105,0.6363636363636364,0.527027027027027,0.7407407407407407,0.10685685685685686,0.1,False
EfficientNetV2B0,5,recall,BOSQUE light,105,0.7012987012987013,0.5949367088607594,0.8026315789473685,0.10384743504330451,0.1,False
MobileNetV2,1,recall,BOSQUE light,105,0.5974025974025974,0.4868421052631579,0.7073170731707317,0.11023748395378688,0.1,False
MobileNetV2,2,recall,BOSQUE light,105,0.5194805194805194,0.4102564102564102,0.6301369863013698,0.10994028802247982,0.1,False
MobileNetV2,3,recall,BOSQUE light,105,0.5584415584415584,0.4457831325301205,0.6666666666666666,0.11044176706827308,0.1,False
MobileNetV2,4,recall,BOSQUE light,105,0.6103896103896104,0.5,0.7160493827160493,0.10802469135802467,0.1,False
MobileNetV2,5,recall,BOSQUE light,105,0.5584415584415584,0.4487179487179487,0.6666666666666666,0.10897435897435898,0.1,False
